Location,Density,Sal,Replicate,Hatch_date,Julian_hatch,Start_Date,Julian_start,Date_MM,Julian_MM,MM_tail,MM_total,Mass_MM,Final_length,Final_mass,Final_date,Julian_final,Time_MM,Dead,Dead_date,,,,,,,
Inland,4,4,2,7/6/17,42922,7/10/17,42926,9/2/17,42980,28.7,47.07,0.757,18.35,0.46,9/5/17,42983,61,1,,*may not be matched properly,,,21.2,0.495,9/4/17,
Inland,4,4,2,7/6/17,42922,7/10/17,42926,8/16/17,42963,23.31,36.34,0.377,16.53,0.239,8/18/17,42965,43,1,,,,,,,,
Inland,4,4,2,7/6/17,42922,7/10/17,42926,9/1/17,42979,30.1,44.36,0.611,17.57,0.396,9/4/17,42982,60,1,,,,,,,,
Inland,4,4,2,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,,,,,,,,
Inland,4,4,3,7/6/17,42922,7/10/17,42926,8/26/17,42973,29.73,46.36,0.676,17.88,0.438,8/29/17,42976,54,1,,,,,,,,
Inland,4,4,3,7/6/17,42922,7/10/17,42926,8/28/17,42975,33.52,50.5,0.923,20.01,0.601,8/31/17,42978,56,1,,,,,,,,
Inland,4,4,3,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,not sure where these 2 are,,,
Inland,4,4,3,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,not sure where these 2 are,,,
Inland,4,4,4,7/6/17,42922,7/10/17,42926,8/29/17,42976,22.67,37.48,0.419,16.03,0.292,8/31/17,42978,56,1,,,,,,,,
Inland,4,4,4,7/6/17,42922,7/10/17,42926,9/5/17,42983,28.83,44.64,0.706,17.74,0.472,9/9/17,42987,65,1,,,,,,,,
Inland,4,4,4,7/6/17,42922,7/10/17,42926,9/8/17,42986,23.33,38.94,0.617,16.94,0.34,9/11/17,42989,67,1,,,,,,,,
Inland,4,4,4,7/6/17,42922,7/10/17,42926,9/21/17,42999,32.17,49.81,0.701,17.72,0.446,9/25/17,43003,81,1,,,,,,,,
Inland,4,4,5,7/6/17,42922,7/10/17,42926,9/5/17,42983,26.49,41.72,0.512,16.45,0.323,9/8/17,42986,64,1,,,,,,,,
Inland,4,4,5,7/6/17,42922,7/10/17,42926,9/10/17,42988,27.57,41.57,0.612,17.81,0.391,9/13/17,42991,69,1,,,,,,,,
